province,confirmed,suspected,cured,dead,lon,lat
湖北省,13522,0,396,414,112.32764600016,30.93269499997
浙江省,829,0,48,0,119.62025900015,29.28443299978
广东省,797,0,21,0,113.48784200041,24.1041690003
河南省,675,2,20,2,113.30208600027,33.76493499995
湖南省,593,0,22,0,111.70914900003,27.56018800028
安徽省,480,0,14,0,117.27573099999,32.44844900042
江西省,476,0,19,0,115.58722600018,27.86517200019
重庆市,337,0,9,2,106.54709500033,29.56803600026
江苏省,308,0,8,0,118.96896900042,33.60216000018
四川省,282,0,14,1,102.54019600044,31.16666400034
山东省,270,0,7,0,118.09365999961,35.94797300025
北京市,212,0,12,1,116.40100299989,39.90311700025
上海市,208,0,10,1,121.47016100003,31.2326239997
福建省,179,0,1,0,117.54696300014,25.80374299974
黑龙江省,155,0,2,2,126.76271400035,47.10851800021
广西壮族自治区,139,0,7,0,108.58787800017,23.92980899959
陕西省,128,0,1,0,107.9300910003,33.4047909996
河北省,126,0,3,1,115.43978000045,38.56895400033
云南省,117,0,5,0,100.56874199974,25.06511000023
海南省,79,0,4,1,109.6044420003,19.1647780003
辽宁省,74,0,1,0,123.39010599959,41.2222470003
山西省,74,0,2,0,112.1427150003,37.39917399968
天津市,60,0,1,0,117.19429500011,39.08263399976
贵州省,56,0,2,0,106.1475319997,26.13430400013
甘肃省,55,0,3,0,103.77111200012,35.16180300021
吉林省,42,0,1,0,126.16516500036,43.38060199998
内蒙古自治区,34,0,1,0,111.230208,42.01315400026
宁夏回族自治区,31,0,1,0,106.04266200015,37.40179900022
新疆维吾尔自治区,29,0,0,0,85.51027199985,40.84152000045
香港,15,0,0,0,114.17681000018,22.30769600017
青海省,15,0,0,0,96.06929099988,36.1078179998
台湾,10,0,0,0,120.87654999998,23.71200800017
澳门,8,0,0,0,113.53809500028,22.18978600002
西藏自治区,1,0,0,0,87.83856400043,31.61679199995
